accession	label	description	clean_header	length	n_count
Z16629.1	H. sapiens	H. sapiens (D20S105) DNA segment containing (CA) repeat; clone AFM123xh12; single read	Z16629.1 H. sapiens	282	0
Z16630.1	H. sapiens	H. sapiens (D12S86) DNA segment containing (CA) repeat; clone AFM123xh2; single read	Z16630.1 H. sapiens	187	0
Z16631.1	H. sapiens	H. sapiens (D18S56) DNA segment containing (CA) repeat; clone AFM123ya1; single read	Z16631.1 H. sapiens	260	0
Z16632.1	H. sapiens	H. sapiens (D20S106) DNA segment containing (CA) repeat; clone AFM123yf8; single read	Z16632.1 H. sapiens	346	0
Z16633.1	H. sapiens	H. sapiens (D10S198) DNA segment containing (CA) repeat; clone AFM126yd6; single read	Z16633.1 H. sapiens	312	0
Z16637.1	H. sapiens	H. sapiens (D8S262) DNA segment containing (CA) repeat; clone AFM127xh2; single read	Z16637.1 H. sapiens	248	0
Z16638.1	H. sapiens	H. sapiens (D5S402) DNA segment containing (CA) repeat; clone AFM127xh4; single read	Z16638.1 H. sapiens	319	0
Z16639.1	H. sapiens	H. sapiens (D13S158) DNA segment containing (CA) repeat; clone AFM135xb8; single read	Z16639.1 H. sapiens	123	0
Z16640.1	H. sapiens	H. sapiens (D4S398) DNA segment containing (CA) repeat; clone AFM135xc3; single read	Z16640.1 H. sapiens	274	0
Z16641.1	H. sapiens	H. sapiens (D12S87) DNA segment containing (CA) repeat; clone AFM135xe3; single read	Z16641.1 H. sapiens	245	0
Z16655.1	H. sapiens	H. sapiens (D6S272) DNA segment containing (CA) repeat; clone AFM142xe7; single read	Z16655.1 H. sapiens	308	0
Z16658.1	H. sapiens	H. sapiens (D2S128) DNA segment containing (CA) repeat; clone AFM143xd12; single read	Z16658.1 H. sapiens	257	0
Z16662.1	H. sapiens	H. sapiens (D4S400) DNA segment containing (CA) repeat; clone AFM143xh10; single read	Z16662.1 H. sapiens	320	0
Z16665.1	H. sapiens	H. sapiens (D8S265) DNA segment containing (CA) repeat; clone AFM144zb2; single read	Z16665.1 H. sapiens	369	0
Z16667.1	H. sapiens	H. sapiens (D21S260) DNA segment containing (CA) repeat; clone AFM147xb12; single read	Z16667.1 H. sapiens	366	0
Z16670.1	H. sapiens	H. sapiens (D18S57) DNA segment containing (CA) repeat; clone AFM147yg7; single read	Z16670.1 H. sapiens	134	0
X52166.1	Human clone	Human clone 14IB10 DNA 5' end	X52166.1 Human clone	176	0
Z16676.1	H. sapiens	H. sapiens (D17S790) DNA segment containing (CA) repeat; clone AFM151xa11; single read	Z16676.1 H. sapiens	216	0
Z16687.1	H. sapiens	H. sapiens (D5S406) DNA segment containing (CA) repeat; clone AFM154xg3; single read	Z16687.1 H. sapiens	334	0
Z16688.1	H. sapiens	H. sapiens (D11S910) DNA segment containing (CA) repeat; clone AFM154yh2; single read	Z16688.1 H. sapiens	288	0
Z16692.1	H. sapiens	H. sapiens (D2S131) DNA segment containing (CA) repeat; clone AFM155yd2; single read	Z16692.1 H. sapiens	317	0
Z16701.1	H. sapiens	H. sapiens (D1S218) DNA segment containing (CA) repeat; clone AFM157xe7; single read	Z16701.1 H. sapiens	320	0
Z16706.1	H. sapiens	H. sapiens (D4S404) DNA segment containing (CA) repeat; clone AFM158xc7; single read	Z16706.1 H. sapiens	145	0
Z16708.1	H. sapiens	H. sapiens (D6S275) DNA segment containing (CA) repeat; clone AFM158ya11; single read	Z16708.1 H. sapiens	360	0
Z16713.1	H. sapiens	H. sapiens (D16S409) DNA segment containing (CA) repeat; clone AFM161xa1; single read	Z16713.1 H. sapiens	165	0
Z16718.1	H. sapiens	H. sapiens (D7S493) DNA segment containing (CA) repeat; clone AFM162xa7; single read	Z16718.1 H. sapiens	243	0
Z16723.1	H. sapiens	H. sapiens (D5S407) DNA segment containing (CA) repeat; clone AFM163xa11; single read	Z16723.1 H. sapiens	177	0
Z16729.1	H. sapiens	H. sapiens (D10S204) DNA segment containing (CA) repeat; clone AFM164tg9; single read	Z16729.1 H. sapiens	367	0
Z16735.1	H. sapiens	H. sapiens (D18S58) DNA segment containing (CA) repeat; clone AFM164xe3; single read	Z16735.1 H. sapiens	257	0
Z16740.1	H. sapiens	H. sapiens (D1S222) DNA segment containing (CA) repeat; clone AFM164yg1; single read	Z16740.1 H. sapiens	347	0
Z16743.1	H. sapiens	H. sapiens (D19S216) DNA segment containing (CA) repeat; clone AFM164zb8; single read	Z16743.1 H. sapiens	342	0
Z16763.1	H. sapiens	H. sapiens (D2S134) DNA segment containing (CA) repeat; clone AFM168xg11; single read	Z16763.1 H. sapiens	335	0
Z16769.1	H. sapiens	H. sapiens (D2S136) DNA segment containing (CA) repeat; clone AFM172xe7; single read	Z16769.1 H. sapiens	103	0
Z17250.1	H. sapiens	H. sapiens (D8S272) DNA segment containing (CA) repeat; clone AFM175xb4; single read	Z17250.1 H. sapiens	271	0
Z16771.1	H. sapiens	H. sapiens (D17S795) DNA segment containing (CA) repeat; clone AFM175xg3; single read	Z16771.1 H. sapiens	167	0
Z16773.1	H. sapiens	H. sapiens (D2S138) DNA segment containing (CA) repeat; clone AFM176xd4; single read	Z16773.1 H. sapiens	217	0
Z16777.1	H. sapiens	H. sapiens (D2S139) DNA segment containing (CA) repeat; clone AFM177xh4; single read	Z16777.1 H. sapiens	260	0
Z16784.1	H. sapiens	H. sapiens (D17S798) DNA segment containing (CA) repeat; clone AFM179xg11; single read	Z16784.1 H. sapiens	389	0
Z16792.1	H. sapiens	H. sapiens (D2S140) DNA segment containing (CA) repeat; clone AFM182ya5; single read	Z16792.1 H. sapiens	185	0
Z16801.1	H. sapiens	H. sapiens (D1S226) DNA segment containing (CA) repeat; clone AFM184xe11; single read	Z16801.1 H. sapiens	207	0
Z16806.1	H. sapiens	H. sapiens (D1S227) DNA segment containing (CA) repeat; clone AFM184yf6; single read	Z16806.1 H. sapiens	138	0
Z16816.1	H. sapiens	H. sapiens (D20S111) DNA segment containing (CA) repeat; clone AFM190xg1; single read	Z16816.1 H. sapiens	339	0
Z16817.1	H. sapiens	H. sapiens (D13S163) DNA segment containing (CA) repeat; clone AFM190ya3; single read	Z16817.1 H. sapiens	296	0
Z16820.1	H. sapiens	H. sapiens (D16S412) DNA segment containing (CA) repeat; clone AFM191wb10; single read	Z16820.1 H. sapiens	337	0
Z16822.1	H. sapiens	H. sapiens (D6S284) DNA segment containing (CA) repeat; clone AFM191xa3; single read	Z16822.1 H. sapiens	320	0
Z16825.1	H. sapiens	H. sapiens (D5S410) DNA segment containing (CA) repeat; clone AFM191xd8; single read	Z16825.1 H. sapiens	382	0
Z16826.1	H. sapiens	H. sapiens (D7S499) DNA segment containing (CA) repeat; clone AFM191xh6; single read	Z16826.1 H. sapiens	376	0
Z16827.1	H. sapiens	H. sapiens (D3S1285) DNA segment containing (CA) repeat; clone AFM191yg5; single read	Z16827.1 H. sapiens	403	0
Z16829.1	H. sapiens	H. sapiens (D6S285) DNA segment containing (CA) repeat; clone AFM192yf2; single read	Z16829.1 H. sapiens	391	0
Z16830.1	H. sapiens	H. sapiens (D17S799) DNA segment containing (CA) repeat; clone AFM192yh2; single read	Z16830.1 H. sapiens	346	0
Z16831.1	H. sapiens	H. sapiens (D5S411) DNA segment containing (CA) repeat; clone AFM193xe11; single read	Z16831.1 H. sapiens	350	0
Z16857.1	H. sapiens	H. sapiens (D6S286) DNA segment containing (CA) repeat; clone AFM198yc11; single read	Z16857.1 H. sapiens	420	0
Z16861.1	H. sapiens	H. sapiens (D3S1290) DNA segment containing (CA) repeat; clone AFM198yh6; single read	Z16861.1 H. sapiens	360	0
Z16862.1	H. sapiens	H. sapiens (D10S212) DNA segment containing (CA) repeat; clone AFM198zb4; single read	Z16862.1 H. sapiens	312	0
Z16865.1	H. sapiens	H. sapiens (D5S413) DNA segment containing (CA) repeat; clone AFM198zh6; single read	Z16865.1 H. sapiens	364	0
Z16870.1	H. sapiens	H. sapiens (D7S503) DNA segment containing (CA) repeat; clone AFM199xc3; single read	Z16870.1 H. sapiens	235	0
Z16876.1	H. sapiens	H. sapiens (D1S233) DNA segment containing (CA) repeat; clone AFM199zd2; single read	Z16876.1 H. sapiens	316	0
Z16886.1	H. sapiens	H. sapiens (D5S414) DNA segment containing (CA) repeat; clone AFM200ya9; single read	Z16886.1 H. sapiens	352	0
Z16888.1	H. sapiens	H. sapiens (D8S278) DNA segment containing (CA) repeat; clone AFM200ye1; single read	Z16888.1 H. sapiens	344	0
Z16889.1	H. sapiens	H. sapiens (D1S234) DNA segment containing (CA) repeat; clone AFM200yf12; single read	Z16889.1 H. sapiens	300	0
Z16891.1	H. sapiens	H. sapiens (D10S214) DNA segment containing (CA) repeat; clone AFM200yh6; single read	Z16891.1 H. sapiens	342	0
Z16895.1	H. sapiens	H. sapiens (D11S918) DNA segment containing (CA) repeat; clone AFM203vg1; single read	Z16895.1 H. sapiens	352	0
Z16897.1	H. sapiens	H. sapiens (D8S279) DNA segment containing (CA) repeat; clone AFM203wc1; single read	Z16897.1 H. sapiens	339	0
Z16899.1	H. sapiens	H. sapiens (D7S509) DNA segment containing (CA) repeat; clone AFM203wg1; single read	Z16899.1 H. sapiens	338	0
Z16900.1	H. sapiens	H. sapiens (D13S165) DNA segment containing (CA) repeat; clone AFM203xa1; single read	Z16900.1 H. sapiens	302	0
Z16903.1	H. sapiens	H. sapiens (D17S801) DNA segment containing (CA) repeat; clone AFM203xg5; single read	Z16903.1 H. sapiens	315	0
Z16914.1	H. sapiens	H. sapiens (D10S215) DNA segment containing (CA) repeat; clone AFM205wd12; single read	Z16914.1 H. sapiens	251	0
Z17334.1	H. sapiens	H. sapiens DNA segment containing (CA) repeat; clone AFM205xh12; single read	Z17334.1 H. sapiens	363	0
Z16936.1	H. sapiens	H. sapiens (D7S510) DNA segment containing (CA) repeat; clone AFM207wb2; single read	Z16936.1 H. sapiens	345	0
Z16945.1	H. sapiens	H. sapiens (D2S153) DNA segment containing (CA) repeat; clone AFM207ye11; single read	Z16945.1 H. sapiens	307	0
Z17256.1	H. sapiens	H. sapiens DNA segment containing (CA) repeat; clone AFM210zb2; single read	Z17256.1 H. sapiens	337	0
Z16966.1	H. sapiens	H. sapiens (D2S156) DNA segment containing (CA) repeat; clone AFM211yd6; single read	Z16966.1 H. sapiens	303	0
Z16972.1	H. sapiens	H. sapiens (D18S64) DNA segment containing (CA) repeat; clone AFM212xg5; single read	Z16972.1 H. sapiens	352	0
Z17257.1	H. sapiens	H. sapiens DNA segment containing (CA) repeat; clone AFM212yb4; single read	Z17257.1 H. sapiens	375	0
Z16973.1	H. sapiens	H. sapiens (D6S297) DNA segment containing (CA) repeat; clone AFM212yf6; single read	Z16973.1 H. sapiens	331	0
Z17258.1	H. sapiens	H. sapiens DNA segment containing (CA) repeat; clone AFM214xg11; single read	Z17258.1 H. sapiens	327	0
Z16980.1	H. sapiens	H. sapiens (D5S423) DNA segment containing (CA) repeat; clone AFM214za9; single read	Z16980.1 H. sapiens	354	0
Z16982.1	H. sapiens	H. sapiens (D5S424) DNA segment containing (CA) repeat; clone AFM214zg9; single read	Z16982.1 H. sapiens	342	0
Z16983.1	H. sapiens	H. sapiens (DXS997) DNA segment containing (CA) repeat; clone AFM217xa5; single read	Z16983.1 H. sapiens	315	0
Z16991.1	H. sapiens	H. sapiens (D6S300) DNA segment containing (CA) repeat; clone AFM218xg1; single read	Z16991.1 H. sapiens	342	0
Z17002.1	H. sapiens	H. sapiens (D11S925) DNA segment containing (CA) repeat; clone AFM220yb6; single read	Z17002.1 H. sapiens	334	0
Z17005.1	H. sapiens	H. sapiens (D3S1299) DNA segment containing (CA) repeat; clone AFM220yh12; single read	Z17005.1 H. sapiens	359	0
Z17006.1	H. sapiens	H. sapiens (D3S1300) DNA segment containing (CA) repeat; clone AFM220yh4; single read	Z17006.1 H. sapiens	259	0
Z17018.1	H. sapiens	H. sapiens (D11S926) DNA segment containing (CA) repeat; clone AFM224zc7; single read	Z17018.1 H. sapiens	156	0
Z17029.1	H. sapiens	H. sapiens (D7S518) DNA segment containing (CA) repeat; clone AFM225xg9; single read	Z17029.1 H. sapiens	324	0
Z17030.1	H. sapiens	H. sapiens (D6S303) DNA segment containing (CA) repeat; clone AFM225ya11; single read	Z17030.1 H. sapiens	315	0
Z17032.1	H. sapiens	H. sapiens (D3S1303) DNA segment containing (CA) repeat; clone AFM225yd6; single read	Z17032.1 H. sapiens	324	0
Z17043.1	H. sapiens	H. sapiens (D4S425) DNA segment containing (CA) repeat; clone AFM234va1; single read	Z17043.1 H. sapiens	325	0
Z17051.1	H. sapiens	H. sapiens (D1S249) DNA segment containing (CA) repeat; clone AFM234wf6; single read	Z17051.1 H. sapiens	366	0
Z17266.1	H. sapiens	H. sapiens DNA segment containing (CA) repeat; clone AFM238va7; single read	Z17266.1 H. sapiens	367	0
Z17069.1	H. sapiens	H. sapiens (D16S420) DNA segment containing (CA) repeat; clone AFM238xb2; single read	Z17069.1 H. sapiens	330	0
Z17267.1	H. sapiens	H. sapiens DNA segment containing (CA) repeat; clone AFM238xd10; single read	Z17267.1 H. sapiens	314	0
Z17079.1	H. sapiens	H. sapiens (D3S1308) DNA segment containing (CA) repeat; clone AFM240ve1; single read	Z17079.1 H. sapiens	241	0
Z17085.1	H. sapiens	H. sapiens (D10S219) DNA segment containing (CA) repeat; clone AFM240wg7; single read	Z17085.1 H. sapiens	306	0
